from,to
a3a5a392e3d4694ea721b51f1b7a50cb8e583898,bde14c1a7071f5b7a1dc8c58758373b9c3fce114
10d67fca29d9231398edbb0f293152000929044e,6239827b8d16d3e896f72cce5109120c59ab15c8
f0f085a55f98b7dd54a7763e26ab5c673fe03441,b697f60f26b89a2652295729d94d6508dd2a69e0
797ca161bb6c25a411583da6d47b6c06378b48f7,d70cc71da9f6613dce722b1577548d7f85f417dc
5cf7901ba683ef970ac1e29d1abc1dcdfdff3ba3,d97f9e3a5248ceccb1bb8d1507ac1e0681d8100a
909df230d9fcb64bd5321326f47ea3c1c5a01c2a,3c9cc80ce3588ad4f7ba44ef20467199281683ae
b644585ad1f429f4b7ff5a2b18105f54aea3603b,fd32b100c3a694890ffa588ba8208462e6641405
d7a5d37b1afd770224db425ad3908d55dfdcea91,489cdfa1dad2b11abd677e8c2e4d4cbf82527d85
7c05906a8cbb290116d285446a62fd0d7204037d,ee9784d49945564a998cf9ac78975af7f4568adc
123bfc658edc53ec6a1ef633c3ffefb3a19bd3ae,5bc530c6e9b9082dcd8b6809a6f80a989a92fd7c
ac01fd60b5dfc29e50528411dc189a1f2884d7e7,07c71fd5b53e1ad4ce377a9f652f236e29aa5fc5
512c384ca4919260f25f67fa5e362bdd5cbc6ea6,a1447f560ae54945f64976dae38b63d7243cd6c9
66d7a2c1defb2539fd19360a5cb7ace239bcc241,ccca2fe18b80059260bb01786061b71f27e18efd
2064209ed7cafee7c69a198448d65e4a38abbe65,52692e06d25ebfb8dd41972b1e04e18387b74076
22a454e424e7f9f13e43e73d0fe3823999b27155,1450e3bb677745022fa8b4b0cbabdd476388c649
235715502278c0e6769f4de278598902b17d1754,76ede5b0635f6f4c899283db929607e0e3bbe989
7995561512d9042434b1f36c4e25056e6670e1a4,66770c1a7e4292f80704bdc2ee777657004b4819
301085374bee72c36e4663db59d964a80fda2afd,d509add32e180b23402dbda27a01af1848929519
b2f187e0105bba68b2c1e6c38d214f8095d2f754,f8289c7bb0e91e4d03bbe768cc1464cf29e6b920
ba714c0e6a086f427bdcb12f9ac383a6e6b9585d,db968218dec46e3c5ec3ee264cafd4cf4e31e6e5
129fb01583239c886b9420ec1289e0b72189964b,f187c8772a33c4a4fda75b9f8eb4be61c489d914
7126fda4aa1707da416f923bb50a37577b2cb430,3aeae0b49a2a951dd6a6933b208e5699b0ad11f0
c3ba449fc06eba367a6f2b3b3d9345bc1110065d,2e351afcaa19ddec69c7dded4bb2a90851d4d8e6
77227d2d524698271b7c92800296d525f5454c08,a8721d9cf3013de68705418fc5c0e52e76e9f6a3
7035a65bfc4d01d507f864fe600d944b812a48e8,8d4199f90672fc2aafeb811fc623fc69284ef2e9
0d4f2a7da938c4885a477356c5ff95365739b6a8,ab80fe8bffbafa34897475a715a1c4feb3b0ef0b
e0f58c573e7c21e2b216dce7a9ded7f893fd818c,a501f5397ae70b84537cd881709289f486ef6e39
795cc46af17cb02d9dd3cfdea9717425cb4f19ca,6c2bdb49269b0ea8917f99389e281649dd187f3d
e3c27970d099c95197390d59b1941f6e75313dfd,c42f48f77c6a86548340e5333d30280513024ff4
932a8ab57dbbc7f000b182bba68a6c26fbef0267,be2ee0258ca0eca658b322134d4d322e4e9d3eb5
b0c1d1a41a33491a33fc244d2fccd0dfec9119c8,ef9524054b36cce69e86b9493482dfc68c5ef9ee
70213dfb4d8a099cb7f708d132529cf624cc0d97,e68c74bca8a4f01668e15fa82911c87a4be1c628
0a730d6e660373f2468a3ceed9836217d6535c99,4916e8c839608aae792e1a81df032da864efc607
534298f72869e7126b67abe73626c43ae2823d0e,0ae23a28d32956ded14035c9394cd0e4e1b6f40e
ac5e3cee30a98bda0acac67a7a2e08419b47a362,dc177ac194b671ee9285aea9ad513b76a510acf5
0f74f4cc342558160ae1d9a2cee8c30a11615e16,aa00b9396298377cd0e2c64c4361af0abab34948
36bf776095f2a73c6a53902330bce2584bc7df15,1979a28f0d36042cf7bb2f80e2c7a39c09a3d9f9
def700f7da858fc1964ba2aba57bfc1da7b66b91,7502b243da6203861b39296ebb0b8699bf4dc9c0
a2d5ec4e13f2f98122c3adca7ac27b2c8a4318d1,da44705d1e2688995178b7686c6437ee07f5095a
efeee4d97c40ea66ad79a678e828fb0c4e5bc53e,043a33f1af9771a0632767dd1a5391ddd5fea1c2
7e3ae216b9884a633fdebc6b35478c3b8ee3243d,f8314a90602d634be820d20d0fbc7e69a288463c
ae4f342b5810d4f913afecd768c4d61b51a3581d,8c720f124378ec1c2784a57e198140418578045b
2f9a71bb93d3111a7173f12aac4779313bf240e7,7b2fa36100c8a6f091661a6bff1677d5c1eb2d2c
5d7670fb4405cc07f7103418cb78620d05060048,c9b3a6727f4435ba146a40d1b9e5ceb5389780d2
a44e2052e3cffeaaa525ae8465373ce20211cdd7,ff8f3b254b527b8ddac04dea43832cd87a3c3445
ecfb8f76050014114b09f2cf6324c21390b571a9,ce4e50cb7e756fc7f13dc196041462c9595efce8
23e0b27e6e57904af2a1dc7ad97e1c23ce6f355b,f6c4418bc02d05ce197ea3da325b332794457472
db8d14a4589ff1e2bee29e2344ec9c03b13c8825,6a789bc836933a7838a7dcd9cce6e836249fcdcd
03c2df6bd5662fdb9639f2314d8a848978e4f7db,286d880d58cf50d685e1949359cae6af45a33f7b
e0db590df4bbed8c252be914e5925e8dfb8d568d,5273055848b485af9bb50066aba079ac0e312179
643c6c94634f4c69c7606e3e79cc79990fb936d5,b0199c9d68dc8a7be5fb87f7389dc4f48eb482a3
c13b2f1dee691eec6abf64e435263b423b60e230,e8b38c35974aff2a1bceaa9379ed0121d5edfd84
5abb148e2a0b48b5674400fa16cd7421a956fe18,8f8674d845aedf7dbdaecf44030cc20b5bea87bf
9707a69d4f16f6f43106c035b7951877c2e1ba36,815cdb781ebac4db7f1b3c9ca3f326ef826009db
c9ea477fd18220482da75ddce01dddb662804bb9,ca30a5ef70390fe39bd7c145def422b473c67ff5
0a85e98e16b5f3d96308139a86b75a70f5a9c17f,6e2b2e496796c4c0610009fe4979a49d79632777
37c35486ff219546a9734ab8f71a5ebbc400e88e,77b288cdd8998b94309745cb9b9f4d01d424f415
d726f14c6f36090ebddb95dc5825f0cffdf4ffc2,c79e0857639c8f1ee66e5978e5589c48ccb434a6
e052577ee25e46a834e445a1c3a38051aa95527e,dd7b8108864de55173b639ff572424992becf38b
8422af092672062200df0feb6a65b4c8aa869469,a924aa8a5dfdf6c34a1310d85c44d7937dcb8813
51b1a24c8038c07b50eb85182d1e872f3e26a803,f1a300a2a55a28060aba95bd93d5f5c8700a1ef1
cd681e0ebc7eeb3aa23245f497cb900e3ae99ed3,130ec2fe141ec52f9c8e5ad15ffccce6af149aef
55643f74879f687be5518ad901812e496008a7a4,9d5942c1a9deef255f2047aeacf008746d53dcc2
92b1b9fad8383e38e7184a09a00ffa0d0ad87273,b7621573b1a5689628a890181a3ff07609bb0124
82e5903202508d510d6aa24d75583d8720f7f6c6,8e0c0ad2aa0cd64c651b8e41a2637cae3a898492
4b0616a915dafdcb47caff49b8b554d4c63f3bb0,136fd829cae99df4ef9835b63324338269b9e4e1
876aebcc37efaa81faef9d3c625ffe6a0f1988d0,4e62a5b80481c9e3765667aba767afef21c79aaa
d4cad9ce761b7457b46e02dd4754b776a92990ba,645a0ae813c12c25e06d6481dd54619d6705d48b
14ff0cb5e0efdbc711a760ec5502e8f356487354,eedaf61a74c13075d7b3f6179001aa6797d93ea8
bfae6e6949b053640df62e8ca618c8863f3d4c34,40925a13aaa93a61b6e639d2e209f60e695c3b5f
9e8236d007506354832dd15c2019aacbb44cd1c0,73f1684c216b49dd22fc7c15b7d6c9bbf13c1836
250ed54fc670b7f662b698f2e3b8616007f7b3e8,77c6dc02f301cf12a012afc7fbabfdb132b586d6
d885928c0827ddb86f82bf65c616608699b6a24b,5a1887b0f843ee55fadbabccb68d7f6784f4df16
4532130bdef2a61f7d2c5d21f7a98cff07c02036,cb90f48fe7f9a8dda411f1f1ffac089814448c24
63555336686452c87b3bf5ba5e8cf169c4e6a5db,3e84643767193b15fe8c916e4cefb06693aa7db7
887a72f3ff83fad000d253655f7d49e3b9a1dca7,234bb7b53061570130681a2e2c2ad7d85d2e1dbe
2831ce88ffcd54dd05ae667b1665f54a04c4adb1,3524a4f0c92343fdd3fbb5c6ac80ef880e331350
c2b34a93936d742e8920cd5a9daa8db019528a72,bf1f65413888f95cae964086578263be9038326e
570efc87c4bb6c5b6cea3732d112660628f06407,2172b2376fda191d28b6d5a9b51bfec92def0e64
d8513d39f03ea68d4146518b7ca7544155e16fba,191ab5484b6315f116fd7a15aa144f0e72885bad
a4c436e3fa714c439f97c2ae839d31fcbc50e3bc,442a8a218926b8ad4b57844e59268ad74c4bed8c
8d4432fab2cea2e1383a7a6bf88ae45d7d725594,1162c4cfcc14b8e9b184722685e8e675a0cfd611
2577307d429bb31be552095d2b1d043df0083955,5d0ef8db27473cc01fc673ff0f5a72f4f473802b
48fcdff6d3e29b45c9dfcd3364e3bcde560dc2b5,563e5979adeefff1940ddaba5b834d999bfc0ee5
ed2b2d52d71eab096c82edcc1a4307286d8e63fc,6c0998408042e430f28959ce5e52679eae7a8bab
dd494a4416c7ce329ae802f078059044cebcf404,ae78bbd2b0135022e6053c75514afddf9df538ae
1a94c19d401f7117e0a159e03e6e2b14c66b8346,f245eb1080612b94b5ca4cf689f3f50f21e0cc19
03bb259b2161f4969f99699129010377999b4a91,de2c6c88c967de5a98003df3ddecdda758166b83
85c74b5380d6dafd79f3d0e4895349bd459bde0c,b32158ccb2f997202901a46d3d671079d9958a26
97e7f7f188939107f47ebd185d43a080577959ab,64e1d38a2fec260382bde6424a83fb4b2b5df6f2
2fc85cd981870f71a619dfb47cc0b1cf1dd91ce6,c38702086dc92fde7c97222df84605183d34ef73
811bc5ed00f8373542276d1c26e9c914c85d9396,704a32955e24970675bc2e647034da4a09dc5ff1
8abd25cad81117a98d363a8f0d5096ea6bcac568,9ba46c44b48af1dea535fdb8429f9ad27d592190
680abd12a6b5fabe99ea04afc163b59467f893d2,704a575bdce2eaeaa7db26cb9693660ecfd9df96
7274eb6f723dba26cff8a377b6dd4a762b8f1fb6,6e91118e2b7a9210e9c966763dc600c944a51cd4
d4573b8da2fba38ec05cce1b724a88ccc0bf9145,42338fd31c7c7fdb4a41e54847835cceff740ccf
202f8a78550d1e7685bbff7c4b75b95e535dd58f,d4b4b2ce7d9b7d35f89ffd95fa32651102c252ff
ef1821a0dc742868a160233561977f1f53ca6afd,92c5ceb07544efe698255b6683cc34d7c2f8ac71
d322a93c40b3e4e71c2cf19f214edfdcfa469daf,7e86b0fd7695c9c4da5b2fc430e6af9082394d53
