from,to
a3a5a392e3d4694ea721b51f1b7a50cb8e583898,98f0b1fa42f919a25d58fd8caec0ec2a175c82dc
10d67fca29d9231398edbb0f293152000929044e,66b088d7a24b7a06e56bdf416e1e5aebd4805c5a
f0f085a55f98b7dd54a7763e26ab5c673fe03441,c7cb23877e459d595a177243aedc3a08cdf14db2
797ca161bb6c25a411583da6d47b6c06378b48f7,709839d344d7776645fc7939fc5008c596c6aa52
5cf7901ba683ef970ac1e29d1abc1dcdfdff3ba3,615c943a240620e712222a79adf5179c8e7f1594
909df230d9fcb64bd5321326f47ea3c1c5a01c2a,9d4d44af1906bc9574287228800cf160eed90978
b644585ad1f429f4b7ff5a2b18105f54aea3603b,643a29959afac3b1c7e439854b40ee3349f75202
d7a5d37b1afd770224db425ad3908d55dfdcea91,901ccfb5d1d213da1b7853cb6e41e07b68083764
7c05906a8cbb290116d285446a62fd0d7204037d,248eeee3c6751619b40307b209f4220eff4508a3
123bfc658edc53ec6a1ef633c3ffefb3a19bd3ae,de7e6cead32347c5b0366375914d71099db80001
ac01fd60b5dfc29e50528411dc189a1f2884d7e7,923a2e0c0527bd36d25f7672e3643668fb3acc95
512c384ca4919260f25f67fa5e362bdd5cbc6ea6,6a0c588fda552bbbfd660c4337373f57a89dbe83
66d7a2c1defb2539fd19360a5cb7ace239bcc241,d1841f456da882591b3104451ba15ad1c21d7f9b
2064209ed7cafee7c69a198448d65e4a38abbe65,ec4b897823ef579dcd12f91a33450f55c4473e03
22a454e424e7f9f13e43e73d0fe3823999b27155,b7820b6e91c740d10950206299890c5c4bc8e074
235715502278c0e6769f4de278598902b17d1754,9dc7458b0ce9f8fe12c544d4fb2a66fbe82d5d13
7995561512d9042434b1f36c4e25056e6670e1a4,743b7584e362445b74d02ea5d3d39cbbc4316e1d
301085374bee72c36e4663db59d964a80fda2afd,3e30f50d5ab48b6d32499d2e3e9c5022a8758053
b2f187e0105bba68b2c1e6c38d214f8095d2f754,178b44edae375a6663391fab31b16b056a5123b8
ba714c0e6a086f427bdcb12f9ac383a6e6b9585d,a8c97104804e31d2b34caaa20411caae4fa6bd06
129fb01583239c886b9420ec1289e0b72189964b,fdacd212446ba25b74c26ca42d34e51a78a9a558
7126fda4aa1707da416f923bb50a37577b2cb430,5c8046c35201d8bd6e156964c1eb48b1ac8de191
c3ba449fc06eba367a6f2b3b3d9345bc1110065d,b27f036b187f1d28b988fd4253b4bb2ec171f519
77227d2d524698271b7c92800296d525f5454c08,74a3eb1626a853a8647508a4d4e30e9e89000aec
7035a65bfc4d01d507f864fe600d944b812a48e8,7c74d278ee6bb21519e35fa906ed1742289cd4dc
0d4f2a7da938c4885a477356c5ff95365739b6a8,69160b8df76c6443454d47432aa46d581d2e354b
e0f58c573e7c21e2b216dce7a9ded7f893fd818c,fc6d7ce1c5f8a725bd3750664bcd88c11b9fc0a5
795cc46af17cb02d9dd3cfdea9717425cb4f19ca,75f8677c68ca72929f13b96c18dc557143b79565
e3c27970d099c95197390d59b1941f6e75313dfd,28237ad563940703d7072f53d09d98b7dd01515c
932a8ab57dbbc7f000b182bba68a6c26fbef0267,4b101364baecad6b0287218a0602d0da7a751835
b0c1d1a41a33491a33fc244d2fccd0dfec9119c8,0b8b7093379200eb20b285af6f6f0542e1b7d236
70213dfb4d8a099cb7f708d132529cf624cc0d97,df46d71d12a16db00398a2b721c2193ff6fc3c03
0a730d6e660373f2468a3ceed9836217d6535c99,fb437040c603d72a526ae674fbb5e699165b9f0a
534298f72869e7126b67abe73626c43ae2823d0e,aa022fc0fd9d6c0680c0243c326210931d8a4d51
ac5e3cee30a98bda0acac67a7a2e08419b47a362,ef4c743250aa085156773e078c0aa1d30ecca4ab
0f74f4cc342558160ae1d9a2cee8c30a11615e16,8b1ee54c46c65363a4533d792ebd3d9464325cdc
36bf776095f2a73c6a53902330bce2584bc7df15,a24853f36fd941058758198cbc94ffca77547955
def700f7da858fc1964ba2aba57bfc1da7b66b91,0d85f004020488841dbbb9377023fb44d7cc2296
a2d5ec4e13f2f98122c3adca7ac27b2c8a4318d1,80a2e0a342fb14363b695973cc7d033d922638b2
efeee4d97c40ea66ad79a678e828fb0c4e5bc53e,e3fc1cc2530f68708e748feb66d107dcc145cc7e
7e3ae216b9884a633fdebc6b35478c3b8ee3243d,02060bc85d9df3fb085d7d20bffd792cb8cbad7a
ae4f342b5810d4f913afecd768c4d61b51a3581d,dd19a66a2b73b132020f0d83c5f8517a221f9708
2f9a71bb93d3111a7173f12aac4779313bf240e7,a07dfe5e0d487806f43ec4710f07e6648aed09bc
5d7670fb4405cc07f7103418cb78620d05060048,8f73c4aa3dd55b48b668fb679b7d5cb038df16d7
a44e2052e3cffeaaa525ae8465373ce20211cdd7,9c579e41456341ffbe058c6b4d44b10b9d6043f0
ecfb8f76050014114b09f2cf6324c21390b571a9,a39293d7d7a0bc0cb801b9288d8f18189692a916
23e0b27e6e57904af2a1dc7ad97e1c23ce6f355b,66a11d34b285e28443adf17abbbd50134c182475
db8d14a4589ff1e2bee29e2344ec9c03b13c8825,ec38ff4243c410c7587c9ed9bd7462eeb0945d13
03c2df6bd5662fdb9639f2314d8a848978e4f7db,369b24a977cded1402c7dcb6e18e26451aa5495e
e0db590df4bbed8c252be914e5925e8dfb8d568d,2912a45fbb52961d66e2e85e7618d40c37fc624f
643c6c94634f4c69c7606e3e79cc79990fb936d5,0f48c92b265bed7e8b40d290e103c8c35d87141a
c13b2f1dee691eec6abf64e435263b423b60e230,228a97ac1275a726d039129aace01a4e9ad4ccd9
5abb148e2a0b48b5674400fa16cd7421a956fe18,e189063148b4da0af0b9d2c6190df9b41871e031
9707a69d4f16f6f43106c035b7951877c2e1ba36,caa36079bd61c0752e82744f246132ee7b2a44ca
c9ea477fd18220482da75ddce01dddb662804bb9,6dba1ff0cac65dd56db10abb7c8ace1d5d825bfb
0a85e98e16b5f3d96308139a86b75a70f5a9c17f,8203709b9eb0984b8282ff59520cb0e568b094ed
37c35486ff219546a9734ab8f71a5ebbc400e88e,889ce9a6af133afd140cae13fa7bd95f27fea7bb
d726f14c6f36090ebddb95dc5825f0cffdf4ffc2,347632185787d8fc421f46cb4be133dee5162a8c
e052577ee25e46a834e445a1c3a38051aa95527e,5e16c6a9f1a1bf0887b2adb72049e9979484d292
8422af092672062200df0feb6a65b4c8aa869469,6debb490a5e0fe724d3c7529c1b5de5071340c59
51b1a24c8038c07b50eb85182d1e872f3e26a803,2a201e761c0ee8d23e0e49f71f77d74097a5f05f
cd681e0ebc7eeb3aa23245f497cb900e3ae99ed3,6412ea247e328948186cebe50473442cab7a4767
55643f74879f687be5518ad901812e496008a7a4,2b9bb896f0393dcc190cf8cc6e1436dfc703066f
92b1b9fad8383e38e7184a09a00ffa0d0ad87273,36b11a702109fb30761abbb0ab68517f7b034ce3
82e5903202508d510d6aa24d75583d8720f7f6c6,14678dbaeed586fa3a232baa928444ceed87e387
4b0616a915dafdcb47caff49b8b554d4c63f3bb0,2af99c2d20ff8556a1e0ac8e73268bee862f2a83
876aebcc37efaa81faef9d3c625ffe6a0f1988d0,608222ebd61320e839a912ec3cd154621feb1f0c
d4cad9ce761b7457b46e02dd4754b776a92990ba,7e47b79bc93a357e4c5982d9d553fb8f263acce2
14ff0cb5e0efdbc711a760ec5502e8f356487354,01266d55fffae1af1f6ccf52c9bd73f7089543c3
bfae6e6949b053640df62e8ca618c8863f3d4c34,c6c96898ab969a357de9661995af452845a24df9
9e8236d007506354832dd15c2019aacbb44cd1c0,4b16b70cdd0f40427760ee520b5ce6df7797ebc3
250ed54fc670b7f662b698f2e3b8616007f7b3e8,bf325d8b0639e5dfd4552170b8bf4eb4172f91ad
d885928c0827ddb86f82bf65c616608699b6a24b,fffca3966f4e74e022fb8a266ccc216f70b068c6
4532130bdef2a61f7d2c5d21f7a98cff07c02036,d102501551e48a1554a3e857de80508b55b15c9b
63555336686452c87b3bf5ba5e8cf169c4e6a5db,6df8cd33e63b31afd7f761e4434e85b381cd4cd2
887a72f3ff83fad000d253655f7d49e3b9a1dca7,377382fe532cd03c536177c4b0c668ddf7c79560
2831ce88ffcd54dd05ae667b1665f54a04c4adb1,1668e64063145e6390afc53a8d6aef69861e3670
c2b34a93936d742e8920cd5a9daa8db019528a72,fb83f1a9f299b8333f0736a8eb7a7263f634cff7
570efc87c4bb6c5b6cea3732d112660628f06407,73eab22c54174374c05c9c25812017cbe7a6f5b7
d8513d39f03ea68d4146518b7ca7544155e16fba,72b87b71b9b0f4411ef9a4a1e61515f853556eca
