from,to
a3a5a392e3d4694ea721b51f1b7a50cb8e583898,41d2a65fa2dbe94bbccf7443e8a6ce1e2c4d79b4
10d67fca29d9231398edbb0f293152000929044e,f5db40e2a335a809006b8aa067e1eefcba7a7bd9
f0f085a55f98b7dd54a7763e26ab5c673fe03441,69544dcbe1111552c216ca365b05eb52dbf166b6
797ca161bb6c25a411583da6d47b6c06378b48f7,c41f1da6de750e0eb16860a882eb87b9b9a9d89b
5cf7901ba683ef970ac1e29d1abc1dcdfdff3ba3,8ba988875e90c004e5b44aad17ac557008ec92de
909df230d9fcb64bd5321326f47ea3c1c5a01c2a,72953e97aec42bcb933c25fb11fe879a025e1f2e
b644585ad1f429f4b7ff5a2b18105f54aea3603b,d88d94042ca528eeab7b06d726a314c51e4eaf33
d7a5d37b1afd770224db425ad3908d55dfdcea91,b8e19c2f1c128c822edcc51dc96181aca51efb7e
7c05906a8cbb290116d285446a62fd0d7204037d,489e32c6fa495f44db9e0112a141e0ee28593603
123bfc658edc53ec6a1ef633c3ffefb3a19bd3ae,64cd126e6bcd25f919dd719f03642aea68afd366
ac01fd60b5dfc29e50528411dc189a1f2884d7e7,745cde6340bf5063edcb768c0fe2fc857eff7a87
512c384ca4919260f25f67fa5e362bdd5cbc6ea6,89c7f139e931782bfda2563dae79dcd86d666ba9
66d7a2c1defb2539fd19360a5cb7ace239bcc241,af8d7651a89fdc89d65c7578dc671e115c8a93da
2064209ed7cafee7c69a198448d65e4a38abbe65,a364f7134063f621d97327d8854fa4d825a166e1
22a454e424e7f9f13e43e73d0fe3823999b27155,f700d981c70ebaecfd7e2765207ea08865089c7c
235715502278c0e6769f4de278598902b17d1754,51e84aa2e9e26705a4bea9b829e6a92e988c6c84
7995561512d9042434b1f36c4e25056e6670e1a4,84b83d9aee69e954ed2cdb148808ecbc2f35ba7f
301085374bee72c36e4663db59d964a80fda2afd,96dfcc5c65dec58012b8eb1ee9503b641fa9af61
b2f187e0105bba68b2c1e6c38d214f8095d2f754,be1f7f631ef1093b49a271ef3599d5b668523dd6
ba714c0e6a086f427bdcb12f9ac383a6e6b9585d,ca5b95be20805823b6a018c2202efd0f215ba062
129fb01583239c886b9420ec1289e0b72189964b,f40a5fe24c302852ed51848e12e3c8396ece2ae0
7126fda4aa1707da416f923bb50a37577b2cb430,812b029ccbfa0b7f152b62efaaee7878b5c9dc15
c3ba449fc06eba367a6f2b3b3d9345bc1110065d,8db86a3edbbc2f041a3ec38ec63c2b294ef7aa03
77227d2d524698271b7c92800296d525f5454c08,61a846a598712d9370fcf5faf6ce7e1106c5cea3
7035a65bfc4d01d507f864fe600d944b812a48e8,7fa7bb5c6bdaca2b9f5cf23b77ed72ab9b813bfc
0d4f2a7da938c4885a477356c5ff95365739b6a8,94035c711b8f2d9beeabf2f8602f7063cac1e586
e0f58c573e7c21e2b216dce7a9ded7f893fd818c,a7d244cdc0ae159353a03474f235740ad43aefa4
795cc46af17cb02d9dd3cfdea9717425cb4f19ca,f0c5bf5f3f91e436b06ac353748bc2bc1c242509
e3c27970d099c95197390d59b1941f6e75313dfd,3c19048d8edfafa22b4fd48c1b889fce7e5b24d5
932a8ab57dbbc7f000b182bba68a6c26fbef0267,de99c24463ec5bb75572cb83a31ef3a41fa01797
b0c1d1a41a33491a33fc244d2fccd0dfec9119c8,6e3d933cb532830384d13ae8a01cf09d86da4da4
70213dfb4d8a099cb7f708d132529cf624cc0d97,f58496602a4e48b0c647e8bbff20ede17709f44c
0a730d6e660373f2468a3ceed9836217d6535c99,aa6ae38b5f2450c9de3dfc78c056297f782026c1
534298f72869e7126b67abe73626c43ae2823d0e,165d8c33f8919b4d6a849b44b847e48cdff85331
ac5e3cee30a98bda0acac67a7a2e08419b47a362,403bd968013ec5b448ea74be6a9e3e221946af72
0f74f4cc342558160ae1d9a2cee8c30a11615e16,1d31e8ca8d6d8033282348a0f27ca95774337f9f
36bf776095f2a73c6a53902330bce2584bc7df15,e4424c4fc79c9eec573fa4e42aff44a7df5fc22d
def700f7da858fc1964ba2aba57bfc1da7b66b91,250b90ff3b7b1c1177211ae2e02533c52adab628
a2d5ec4e13f2f98122c3adca7ac27b2c8a4318d1,5b81d527a25171bbc8071fee97b61efd920e9228
efeee4d97c40ea66ad79a678e828fb0c4e5bc53e,99b58dd69ba243aa75323fbd216cb6defc0e0da4
7e3ae216b9884a633fdebc6b35478c3b8ee3243d,e9105afc09b1f299ccf06b4d54237a2e740caecd
ae4f342b5810d4f913afecd768c4d61b51a3581d,48e60864daa114019f57fa8a1992633e4bc524a4
2f9a71bb93d3111a7173f12aac4779313bf240e7,354e793c9760cc98ee0fe4c9d3bec9a59eb32545
5d7670fb4405cc07f7103418cb78620d05060048,b1b236b0a3402a8b3beabdf881d3d9bc35880e07
a44e2052e3cffeaaa525ae8465373ce20211cdd7,8fe32de163e2ae59736b77b71b8d5cce1620d3a4
ecfb8f76050014114b09f2cf6324c21390b571a9,65edb9ff4f9910fcecbea4cf700259aa4560eca2
23e0b27e6e57904af2a1dc7ad97e1c23ce6f355b,364421879fd031b5f8d100390270010fd6069d17
db8d14a4589ff1e2bee29e2344ec9c03b13c8825,05722ec2dfd5afbfef1a262d3b58cd905665757a
03c2df6bd5662fdb9639f2314d8a848978e4f7db,f3f673ac153f756d647bad392b12f070061a7dbe
e0db590df4bbed8c252be914e5925e8dfb8d568d,b361e2e36cc48b6f55e2538d5c4a83a30c50b88d
643c6c94634f4c69c7606e3e79cc79990fb936d5,337723ae359964a74c45c362df3491a964b3b234
c13b2f1dee691eec6abf64e435263b423b60e230,e20a8717f9e95b05c3a3896a3f3460888b70abe3
5abb148e2a0b48b5674400fa16cd7421a956fe18,ba4ce01c5731fd4ac538a9753576af69fa43e840
9707a69d4f16f6f43106c035b7951877c2e1ba36,9cdd0d220479d33947fa1e65bd869dc2e9e7b409
c9ea477fd18220482da75ddce01dddb662804bb9,346569ca45cfb81f1d21697a68c3ce8fdd84efd8
0a85e98e16b5f3d96308139a86b75a70f5a9c17f,aaef6c0a23c12702f912ebbe398ff3d77f81cc5c
37c35486ff219546a9734ab8f71a5ebbc400e88e,e15fe6a3134af0c532fc9c0faa0db65b74303313
d726f14c6f36090ebddb95dc5825f0cffdf4ffc2,928198bd0f90e22c70d151f99dc763f55c461b70
e052577ee25e46a834e445a1c3a38051aa95527e,35cb30a632f1442929202dbc46ef5e98db9e72ed
8422af092672062200df0feb6a65b4c8aa869469,adc383e2fcbdfbef7e601e9b89afdb4ab6b3701d
51b1a24c8038c07b50eb85182d1e872f3e26a803,99c484b4f705ad1da946c96cc72e24f33724022b
cd681e0ebc7eeb3aa23245f497cb900e3ae99ed3,a1b5e43371f9c2fe20727e3157d8424aa45fe251
55643f74879f687be5518ad901812e496008a7a4,bf5280863f11246c75bc03d484c5bac2bd79446b
92b1b9fad8383e38e7184a09a00ffa0d0ad87273,5e86ecd720273f8c79994c113baeeefe0c06e983
82e5903202508d510d6aa24d75583d8720f7f6c6,f1174f7a18ada2a387e59007baed27a5840e7ae5
4b0616a915dafdcb47caff49b8b554d4c63f3bb0,7ac4f58a6ae24adcfd68ae54582ce078aa7091c0
876aebcc37efaa81faef9d3c625ffe6a0f1988d0,94130480101b6ba0985fae7718fe2c2923682e38
d4cad9ce761b7457b46e02dd4754b776a92990ba,2cf1e67305c63de6accada48bfb3b51d8dac719c
14ff0cb5e0efdbc711a760ec5502e8f356487354,3bf6984362e7417a014e4af0fc31f3b65c05d31a
bfae6e6949b053640df62e8ca618c8863f3d4c34,b80eefdb2249766a4aef08fd48080439c16373d4
9e8236d007506354832dd15c2019aacbb44cd1c0,300a69159d8ab2b6373a82f715a32d18423d6a31
250ed54fc670b7f662b698f2e3b8616007f7b3e8,d2471546aa3568b60ae23d43fe0f81880558bfe6
d885928c0827ddb86f82bf65c616608699b6a24b,91b6c9804deb6a27880b7b50b14dc4f44fe695ba
4532130bdef2a61f7d2c5d21f7a98cff07c02036,fa8b14defe51f9189e4be132a3e62094ba84d4ae
63555336686452c87b3bf5ba5e8cf169c4e6a5db,50920dbdeaf84028518ca7df877473f5c083d494
