from,to
a3a5a392e3d4694ea721b51f1b7a50cb8e583898,fcc831164bbdba99c9c22e482b8f37d8a8a47f06
10d67fca29d9231398edbb0f293152000929044e,d9a9bf70a9668540ee4f3b02865bacf6085d5f10
f0f085a55f98b7dd54a7763e26ab5c673fe03441,c81ae01aa7e6c37e8ba1a1a437f544bc5ba06650
797ca161bb6c25a411583da6d47b6c06378b48f7,1e6546ac46f552f78daceed872b2ff62b357343b
5cf7901ba683ef970ac1e29d1abc1dcdfdff3ba3,3c4b5190cf6da7541d0976cec3fc09e7af227321
909df230d9fcb64bd5321326f47ea3c1c5a01c2a,f151e50016f69e3f8780ffa94d05bf60dc7b8710
b644585ad1f429f4b7ff5a2b18105f54aea3603b,4574418c2148c092b3b973c509dee0c5723786f1
d7a5d37b1afd770224db425ad3908d55dfdcea91,29fb94a38b5490a62428878ad33041db00f61af0
7c05906a8cbb290116d285446a62fd0d7204037d,5dc6e78a2991a6c672274b0162b3077fb23c56a1
123bfc658edc53ec6a1ef633c3ffefb3a19bd3ae,b5388b87aa6c40ecfb8cc2b9115b16663bc13af4
ac01fd60b5dfc29e50528411dc189a1f2884d7e7,0585ee43ca9316cf2deca7aafbc72e99f4dc9b1b
512c384ca4919260f25f67fa5e362bdd5cbc6ea6,27bfd09c56d449c43bb6321d2e24bfa8330654a6
66d7a2c1defb2539fd19360a5cb7ace239bcc241,befb1813a588958bf5cbd412a554c718401ba053
2064209ed7cafee7c69a198448d65e4a38abbe65,c40d2644c94210c13ad8159ce17c3db734fc0c78
22a454e424e7f9f13e43e73d0fe3823999b27155,def03a660704b4e509334062707551ff0713629d
235715502278c0e6769f4de278598902b17d1754,9b82979ce63f7e7c241163df9fa04dba506c8c3d
7995561512d9042434b1f36c4e25056e6670e1a4,f34eca8a3eb968a07e654a0a9c3a77900dbe42c9
301085374bee72c36e4663db59d964a80fda2afd,9c48483f942355fbf72b919fe90a848246169f29
b2f187e0105bba68b2c1e6c38d214f8095d2f754,41fe535063627c78e0a6e257b8e3f617c1de5001
ba714c0e6a086f427bdcb12f9ac383a6e6b9585d,591391a45338e14c4fc7fd0ac941729336549747
129fb01583239c886b9420ec1289e0b72189964b,0c625cbbb41a2e4c52fb9127d4cc674098bba8c9
7126fda4aa1707da416f923bb50a37577b2cb430,6f6611a191b5358fc0c3d0e4de93d44375b2f917
c3ba449fc06eba367a6f2b3b3d9345bc1110065d,1f3f92212134c7630c7348183088bce6478be22a
77227d2d524698271b7c92800296d525f5454c08,a1e95be8df476dc898c87405878b03a526c6488c
7035a65bfc4d01d507f864fe600d944b812a48e8,e3f7877acfdebc2582d55b656119530418a5150f
0d4f2a7da938c4885a477356c5ff95365739b6a8,19c621a51d4b59f1d4df2865127f34193f3b4075
e0f58c573e7c21e2b216dce7a9ded7f893fd818c,622fcc7964f993d9b9d6aaa64333bcba2510c60d
795cc46af17cb02d9dd3cfdea9717425cb4f19ca,8ba3a453e3c70875b227c23701b1b768773259d4
e3c27970d099c95197390d59b1941f6e75313dfd,29e3a25abd82ce7bd5ec5d4ba72e77a409550e76
932a8ab57dbbc7f000b182bba68a6c26fbef0267,397b3975f5d85913ba7387b24d4b355ab6892fa0
b0c1d1a41a33491a33fc244d2fccd0dfec9119c8,c237044150ad6c34f1571818db96c3c26c15b929
70213dfb4d8a099cb7f708d132529cf624cc0d97,15e40bccc1eefba0df131325b75913dd2d7db4e7
0a730d6e660373f2468a3ceed9836217d6535c99,83469fa615ff6fcf55070945e3f4fc5927d31f2d
534298f72869e7126b67abe73626c43ae2823d0e,5347db735e3733ba3b537c85efeadfcf84a22bda
ac5e3cee30a98bda0acac67a7a2e08419b47a362,451684d704c04caf2d9ff578b4eac18b8a36d7a9
0f74f4cc342558160ae1d9a2cee8c30a11615e16,750e2a8c73ad0ac7459ce30cb9b267eecdc1ad92
36bf776095f2a73c6a53902330bce2584bc7df15,d89788799af0105d99b240ffebc7c1bd3bcdbc69
def700f7da858fc1964ba2aba57bfc1da7b66b91,3bbc255aea9367c98694c7a020251209f1430191
a2d5ec4e13f2f98122c3adca7ac27b2c8a4318d1,128d2c691fd552d3556a4d402ab150d61ea5ad2f
