from,to
bf904c626832156480f1926d865797c1297d1627,bf904c626832156480f1926d865797c1297d1627
4882c3ed52201bc4895a7c0c2acbc067969f706f,77286be14a604bb9dfc7520ddd42c3f6567a49be
103b7ea8c8e50e3d21c9627566ecd193b586ae14,aaf50721a3060df786a2eaa83470721482d24f38
c7c3418e692a46965d99dda4b0359b2863c4837d,92a19459dc4184502d5b56563a20443b36f9128a
44c4397e8725b1abfdf06d7217467031c28bdab9,312c1f7852ad2a8a5e0f790041f3712d21850a4b
3f8132770f460463957bfa6bbc3288de06bce035,456e1370b966c069ba060262293053007a6df0da
9a6f4383e546bee9b46c4418aa60b754fa7d4fbe,e9f7e7b185227b95684ee033b43b660ddeda232a
70eecd6f6987d55ca114c0668068395033c8f5c0,a7fc8fed9ae3788d12009a085a3f910e9184e498
cf39af350afc6e1371513ba6cfc10f3bb7b8f6ee,44640bff9a6a6e8554074ebf65e49961dde600e9
feb2ae2b64517eab2dc069672798ba8be3bd60e9,9e83f82d2af37f38575fd4dd89e9a558b2f234b6
5e4805400e9c6962afbbac2718e0a60222587c4e,5185e7870d0f61d9d614140f7e9262144a613c09
2b7c5997ef18188a1aa4e41359904f29e7ff96fd,a3a0f0cbc5a7986b11b87d44135d1bafd0978f4e
eae4ae1e91f1b8b6a13ae07eddc54ba581904469,6b887be7bb1ab6f4144645e179862d671c707c3f
1ab95b2185ce7183b054b6cdc2fec0d4c973eb2f,69c334c0f3d1f82379ff5fb7757af94b12b11598
1d1bec7e1b27e9c8373b3fe8549f556a04ac6af6,b15011098496be2e21776699c1dca7a054c245ed
457daa98cc82f36b8b29b21c4c22afc5e155aefd,f51b5595509b1b7d4ea79ddc1f5d87c6322ede31
401784e9bf03c5a7fb3358009da6102e253312bf,0e88d1bd45a4786d66ade62ef5a5ac57e6daf8a5
446005995f9d9a025f0383e4468f4dcd5bfa1a5c,cc9754310568143febd6a1a7ca3c5897ced00bdf
0fa727d6fbaf4022bfa70df08b1ae49f665d8a66,d0b904e4970511f1adc3f6a659552629ac1155a2
06110d435f521d414fd9c9e343b6cf97c392c7a3,8deb58e296b7da8053b53a17c4248077f52a82bf
ba5ab22a871ccbf489c50bc60117d681f5e383a8,36a66ab216693a639e559bcf4e47b8f804247287
97b84bed43ab58e469cae404af1f9e514ac4e370,e9663c38804efe5e4d0bfb7521f94d0f0714fc7c
bb34fc75cec456d601275b921c1dd20007a89813,0fd6c124d18b59914ab4bf36d7a6762b7078d3aa
e9224d2e5821d7594efec0432d2605cfac615ae9,a56a3b80cfbbb4de3dfe2577e8c2e7d85c9805eb
c7f7ef57544fb09b9cf6dd435b434be3146cb86f,862a5d3d7bd954ba18b3c1b0434b2158471f158e
1194070a81ea00bfad790333bfd410260e8084ab,7caa2a045d1278822b813b21530d49639c3a1655
647114c28bd416ba1574e8f6885f97233a8d1698,51fcfd0ae2713efaceebce7d74879af1eb5f5a08
218b9263f2e2b22547e9dcf2456c7748d18e961b,901de1a8ed3066cddd7284d3eb58f0a0fa391532
c1e4cffc98c76a5e0f653082ed36205119c46d11,458c68989ffb41cb5f43ca5a3aee127f7a5cb79e
b91aa2dcce626125f8b81bb72d684130f4318d5b,662c4819fca9bfe4b0faa8551ac876f887a12992
9c7ac76f3b88205b8e4bd0ec1c44bc55c1cd1bed,d315cab7a3b480e6cf97b673111bd26193331001
b7211211ac530a0959e844dc6efa1c95dcec0724,530ddeb05662e1a431e5618270aa151863766e12
ce9e2b26d2dc32a10fca3b6e6adff1e4d4ee0360,eb355f7073ab291c0dec38e368c38ad0dd78005d
c756d222411c424665a8f331d4f07b4a75f8c666,d634d9dfd91044a0f08a06c825dbabb604002d23
b73b4546a749b6328351572480400a9e7475b4ed,f4c6244d66c2eb7b13859597d8c5093218471c6b
593f11abcd82b9eabbba99b2480f6eeaf84873fc,8ffeb22814388f0769db71bdc231ca2bc1f6c8d2
811e7f547f4e133fc61cf5991839c3cd39cc7b4a,8536e6d73fa4beae8bfa7f5ff88cea3278a7a0bc
ad600bc1726dd72f8d046eb3248289899aaf23da,c70ccb7a012be3847f06bbb1ad47aee05ecdc000
17d61ef7f6dedaed2b5d7d6ae3277987b66a67cc,f537df9e769bcdc0f619bb90f2dfefe0ce701c8e
adca3cd46f1d7bedcb7e4961c362aa52079e865f,b7462cf092591f4390aac6a4bdb12a6349c790a3
e4785a31e62aa2bbd1d01d0469b5aae9fe2fb2c2,40b4a5594764379b9a7142876bac8730f87d96b8
88e6463255d0c1a8de854aa0b2c5d1af3af32a2b,90d9bf3ec1e0d2a55eddcac7094be5f42791a653
419daabd07599b0da8d29bdd4c0eff22724464eb,e3346285210ee163dbebf3bbf107baf3f398ba5f
fd87409e99377b6d2c0d72c854805969c95abda7,45c5d45ae6241925344438f0d23042959fd6ebac
1441e0a6564df954f7ce0ebe6508c95d52f14a6f,1da53db48739a2747f8511d684c52d9c6cf0a775
ebc02a39cecdf25ffc7e3c2be408163e4eb787a1,caee60dce6e20407f2f379618fa447d3b94f729c
0fd435f82a69edddbfba054140c4e82119716eae,5b72ca053c48ac357004fad8bc35d927f3a5eb81
4156c1d8aff3655121d8a2f2b762005596bcbf45,7b83f547d2b3fc2203303823a240fed8bc1778c0
938b9412db485ee6af144dad082b7434ce3aedc4,ae95a1dbf2ff0ac26bdb1e0d226fe84fbf962ea7
b5f36f1f18803137ba92c886027bffc31ae63dfb,df71abba8c97e15fb12312bf328298376c2dcd19
b8c9a158cdc9cf04c9ff0c25f31c938452c940c6,e001befc0be8b206069f83ad1d5077dacde4b84d
5be08ef811c07ebe384592ca5c8de21c73c6ea10,69348460783335073399ef200e1ec82d0ca505a9
8290d710eb60fed9efb0e9fddcd1d37dc3c03766,6733f04c397119176e8b729b88b1b8dad17409fe
7398709c9e2ff03a85fe43d521e8d9000027e1a3,cec3399db04dd0256e7af17e36ac00136acb8ebb
eb41e17e7363ce998f8d89bbb8e0a633d2088e48,774cbfefe1d59952972cf49f373d8c67599b2ebd
e2f2e30681c26842904ee5c97e665e64aeee3226,e514d136e601bd7eac42df1e01a7b46978a215b7
